Inventario,Autore,Ambito culturale,Datazione,Titolo,Materiali,Immagine
2096/C,Petit Jacob,manifattura di Fontainebleau,1830 - 1850,ghirlande e mazzi di fiori,porcellana,http://93.62.170.226/foto/M0001220.jpg
2097/C,Petit Jacob,manifattura di Fontainebleau,1830 - 1850,pagoda / fiori,porcellana,http://93.62.170.226/foto/M0001221.jpg
3203/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001227A.jpg
3204/C,,manifattura Rossetti - Torino,XVIII,,maiolica,http://93.62.170.226/foto/M0001228.jpg
3205/C-I,,fabbrica di Vinovo,XVIII,paesaggio con figure,porcellana,http://93.62.170.226/foto/M0001229.jpg
3206/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001231.jpg
3209/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001235A.jpg
3210/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001236.jpg
3210/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001236A.jpg
3211/C,Carpano,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001237.jpg
3212/C,,manifattura di Vische,XVIII,,porcellana,http://93.62.170.226/foto/M0001238.jpg
3213/C,Carpano,fabbrica di Vinovo,XVIII,busto di Vittorio Amedeo III,porcellana,http://93.62.170.226/foto/M0001239.jpg
3214/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001240.jpg
3216/C,Carpano,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001242.jpg
3218/C,,fabbrica di Vinovo,XVIII,contadino presso fontana / contadino seduto,porcellana,http://93.62.170.226/foto/M0001244.jpg
3220/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001246.jpg
3221/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001247.jpg
3222/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001248.jpg
3223/C,,fabbrica di Vinovo,XVIII,paesaggio marino,porcellana,http://93.62.170.226/foto/M0001249.jpg
3224/C,,fabbrica di Vinovo,XVIII,paesaggio montano,porcellana,http://93.62.170.226/foto/M0001250.jpg
3225/C,,fabbrica di Vinovo,XVIII,paesaggio,porcellana,http://93.62.170.226/foto/M0001251.jpg
3226/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001252.jpg
3226/C,,Periodo Hannong (1776-1779),XVIII,,porcellana,http://93.62.170.226/foto/M0001252.jpg
3227/C-I,,fabbrica di Vinovo,XVIII,scena agreste,porcellana,http://93.62.170.226/foto/M0001253.jpg
3230/C,,fabbrica di Vinovo,XVIII,busto femminile,porcellana,http://93.62.170.226/foto/M0001258.jpg
3243/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001271.jpg
3255/C,,fabbrica di Vinovo,XVIII,caccia al cervo,porcellana,http://93.62.170.226/foto/M0001283.jpg
3262/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0001290.jpg
3263/C,,manifattura di Vische,XVIII,rissa tra due personaggi,porcellana,http://93.62.170.226/foto/M0001291.jpg
3268/C,,casteldurante,XVI ?,busto maschile,maiolica,http://93.62.170.226/foto/M0001296.jpg
3271/C,,Cina,1662 - 1722,,porcellana,http://93.62.170.226/foto/M0001300.jpg
3271/C,,dinastia Qing (1644-1911),1662 - 1722,,porcellana,http://93.62.170.226/foto/M0001300.jpg
3271/C,,Era Kangxi (1662-1722),1662 - 1722,,porcellana,http://93.62.170.226/foto/M0001300.jpg
3272/C,,fabbrica anatolica,XVII ?,,porcellana,http://93.62.170.226/foto/M0001301.jpg
3275/C,,manifattura Richard,XIX,stemma,porcellana,http://93.62.170.226/foto/M0001304.jpg
3278/C,Baroni,manifattura di Le Nove,ca. 1800 - ca. 1820,Guerre di Grecia,porcellana,http://93.62.170.226/foto/M0001307.jpg
3282/C-I,,Capodimonte,XVIII,morte di Annibale,porcellana,http://93.62.170.226/foto/M0001311.jpg
3282/C-II,,Capodimonte,XVIII,soggetto mitologico,porcellana,http://93.62.170.226/foto/M0001312.jpg
3283/C-I,,fabbrica di Grottaglie - Puglia,XVIII,,maiolica,http://93.62.170.226/foto/M0001313.jpg
3283/C-II,,fabbrica di Grottaglie - Puglia,NULL,,maiolica,http://93.62.170.226/foto/M0001314.jpg
3283/C-III,,fabbrica di Grottaglie - Puglia,NULL,,maiolica,http://93.62.170.226/foto/M0001315.jpg
3283/C-IV,,fabbrica di Grottaglie - Puglia,NULL,,maiolica,http://93.62.170.226/foto/M0001316.jpg
3284/C,,manifattura di Savona,XVII,Sant'Antonio e San Biagio,maiolica,http://93.62.170.226/foto/M0001317.jpg
3284/C,,manifattura di Savona,XVII,Sant'Antonio e San Biagio,maiolica,http://93.62.170.226/foto/M0001317A.jpg
3285/C,,manifattura di Savona,XVII,,maiolica,http://93.62.170.226/foto/M0001318.jpg
3286/C,,fabbrica Deruta,NULL,,NULL,http://93.62.170.226/foto/M0001319.jpg
3287/C,,manifattura dell'Emilia,ca. 1750 - ca. 1750,,maiolica,http://93.62.170.226/foto/M0001320.jpg
3288/C,,manifattura dell'Italia settentrionale,XVII,Sant'Ambrogio e San Biagio,maiolica,http://93.62.170.226/foto/M0001321.jpg
3289/C,,manifattura di Savona,XVII,stemma,maiolica,http://93.62.170.226/foto/M0001322.jpg
3290/C,,manifattura di Savona,XVII,,maiolica,http://93.62.170.226/foto/M0001323.jpg
3291/C,,manifattura di Savona,XVII,guerriero seduto,maiolica,http://93.62.170.226/foto/M0001324.jpg
2646/C,,fabbrica di Venezia,XVIII,Allegoria di Venezia,porcellana,http://93.62.170.226/foto/M0001931.jpg
2646/C,,manifattura Cozzi - Venezia,XVIII,Allegoria di Venezia,porcellana,http://93.62.170.226/foto/M0001931.jpg
2647/C,,manifattura Ginori - Doccia,XVIII,dea dell'Abbondanza,porcellana bianca,http://93.62.170.226/foto/M0001932.jpg
2650/C,,fabbrica di Venezia,XVIII,giardino - castello,porcellana - 47255,http://93.62.170.226/foto/M0001935.jpg
2650/C,,manifattura Cozzi - Venezia,XVIII,giardino - castello,porcellana - 47255,http://93.62.170.226/foto/M0001935.jpg
2654/C,,Cina - Compagnia delle Indie,XVIII,,porcellana,http://93.62.170.226/foto/M0001939A.jpg
2655/C,,Cina - Compagnia delle Indie,XVIII,,porcellana,http://93.62.170.226/foto/M0001940.jpg
2656/C,,Cina - Compagnia delle Indie,XVIII,stemma,porcellana,http://93.62.170.226/foto/M0001941.jpg
2656/C,,Vezzi - Venezia,XVIII,stemma,porcellana,http://93.62.170.226/foto/M0001941.jpg
2657/C,,Cina - Compagnia delle Indie,XVIII,,porcellana,http://93.62.170.226/foto/M0001942.jpg
2658/C,,manifattura di Le Nove,XVIII,uomo donna e bambini,porcellana bianca,http://93.62.170.226/foto/M0001943.jpg
2658/C,,manifattura Antonibon Parolin,XVIII,uomo donna e bambini,porcellana bianca,http://93.62.170.226/foto/M0001943.jpg
2661/C,fabbrica di Vienna,manifattura Du Paquier - Vienna,XVIII,giocolieri cinesi e cani,porcellana,http://93.62.170.226/foto/M0001946.jpg
2662/C,,manifattura Du Paquier - Vienna,XVIII,stemma,porcellana,http://93.62.170.226/foto/M0001947.jpg
2667/C,,manifattura Du Paquier - Vienna,XVIII,Carlo VI imperatore d'Austria e consorte,porcellana,http://93.62.170.226/foto/M0001952A.jpg
2670/C,,manifattura Du Paquier - Vienna,XVIII,amorino - uccelli e fiori - frutta,porcellana - bronzo dorato,http://93.62.170.226/foto/M0001955.jpg
2671/C,fabbrica di Vienna,manifattura Du Paquier - Vienna,1735 - 1740,donna con maschera,porcellana,http://93.62.170.226/foto/M0001956.jpg
2672/C,,fabbrica di Vienna,1730 - 1730,divinità marina,porcellana,http://93.62.170.226/foto/M0001957.jpg
2672/C,,manifattura Du Paquier - Vienna (1718-1744),1730 - 1730,divinità marina,porcellana,http://93.62.170.226/foto/M0001957.jpg
2673/C,fabbrica di Vienna,manifattura Du Paquier - Vienna,1730 - 1735,,porcellana,http://93.62.170.226/foto/M0001958.jpg
2674/C,fabbrica di Vienna,manifattura Du Paquier - Vienna (1718-1744),XVIII,draghi - cinesi - pagode - uccelli,porcellana,http://93.62.170.226/foto/M0001959.jpg
2675/C,fabbrica di Vienna,manifattura Du Paquier - Vienna (1718-1744),XVIII,busto di Elisabetta Cristina di Germania,porcellana,http://93.62.170.226/foto/M0001960.jpg
2676/C,,manifattura Du Paquier - Vienna,XVIII,putti,porcellana,http://93.62.170.226/foto/M0001961.jpg
2677/C,,manifattura Du Paquier - Vienna,XVIII,stemma - insetti ed uccelli,porcellana,http://93.62.170.226/foto/M0001962.jpg
2679/C,,fabbrica di Vienna,ca. 1720 - ca. 1720,,porcellana,http://93.62.170.226/foto/M0001964.jpg
2679/C,,manifattura Du Paquier - Vienna (1718-1744),ca. 1720 - ca. 1720,,porcellana,http://93.62.170.226/foto/M0001964.jpg
2680/C,,fabbrica di Vienna,1730 - 1735,scene di pesca e di caccia,porcellana,http://93.62.170.226/foto/M0001965.jpg
2680/C,,manifattura Du Paquier - Vienna,1730 - 1735,scene di pesca e di caccia,porcellana,http://93.62.170.226/foto/M0001965.jpg
2681/C,,fabbrica di Vienna,XVIII,paesi,porcellana,http://93.62.170.226/foto/M0001966.jpg
2681/C,,manifattura Du Paquier - Vienna,XVIII,paesi,porcellana,http://93.62.170.226/foto/M0001966.jpg
2682/C,,fabbrica di Vienna,XVIII,,porcellana,http://93.62.170.226/foto/M0001967.jpg
2682/C,,manifattura Du Paquier - Vienna,XVIII,,porcellana,http://93.62.170.226/foto/M0001967.jpg
2683/C,,manifattura Du Paquier - Vienna,XVIII,,porcellana,http://93.62.170.226/foto/M0001968.jpg
2684/C,,fabbrica di Vienna,NULL,paesi,porcellana,http://93.62.170.226/foto/M0001969.jpg
2685/C,fabbrica di Vienna,manifattura Du Paquier - Vienna,XVIII,soggetti cinesi,porcellana,http://93.62.170.226/foto/M0001970.jpg
2687/C,,fabbrica di Vienna,XVIII,,porcellana,http://93.62.170.226/foto/M0001972.jpg
2687/C,,manifattura Du Paquier - Vienna (1718-1744),XVIII,,porcellana,http://93.62.170.226/foto/M0001972.jpg
2688/C,,fabbrica di Vienna,XVIII,paesi,porcellana,http://93.62.170.226/foto/M0001974.jpg
2688/C,,manifattura Du Paquier - Vienna,XVIII,paesi,porcellana,http://93.62.170.226/foto/M0001974.jpg
2689/C,,manifattura Du Paquier - Vienna,XVIII,paesi e figure,porcellana,http://93.62.170.226/foto/M0001975.jpg
2690/C,fabbrica di Vienna,manifattura Du Paquier - Vienna,1725 - 1730,,porcellana,http://93.62.170.226/foto/M0001976.jpg
2691/C,Bottengruber Ignazio,manifattura Du Paquier - Vienna,1730 - 1735,scene bacchiche / stemma,porcellana,http://93.62.170.226/foto/M0001977.jpg
2692/C,,fabbrica di Vienna,1725 - 1735,corsa sui porci,porcellana,http://93.62.170.226/foto/M0001978.jpg
2692/C,,manifattura Du Paquier - Vienna,1725 - 1735,corsa sui porci,porcellana,http://93.62.170.226/foto/M0001978.jpg
2694/C,,fabbrica di Vienna,XVIII,,porcellana,http://93.62.170.226/foto/M0001980.jpg
2695/C,,manifattura Du Paquier - Vienna,XVIII,motivi di paesaggio,porcellana,http://93.62.170.226/foto/M0001981.jpg
2696/C,,manifattura Du Paquier - Vienna,XVIII,figure mitologiche,porcellana,http://93.62.170.226/foto/M0001982.jpg
2698/C,,manifattura Du Paquier - Vienna,1725 - 1735,divinità marine,porcellana,http://93.62.170.226/foto/M0001984.jpg
2699/C,,manifattura Du Paquier - Vienna,XVIII,,porcellana,http://93.62.170.226/foto/M0001985.jpg
0314/D,,pittore veneziano,XVIII,Venere e Diana,olio su tela - legno intagliato - legno dorato,http://93.62.170.226/foto/M0003012.jpg
0328/D,,cerchia di Gerrit Van Honthorst,XVII,Lucrezia morente,olio su tela,http://93.62.170.226/foto/M0003031.jpg
0335/D,,pittore ignoto,XIX,astronomo Barone Giovanni Plana,acquerello,http://93.62.170.226/foto/M0003038.jpg
0338/D,,maniera di Michele Antonio Rapous,XVIII,cesto di fiori su capitello / fiori sparsi per terra,olio su tela,http://93.62.170.226/foto/M0003041.jpg
0339/D,,maniera di Michele Antonio Rapous,XIX,vaso azzurro con fiori - cesto con fiori,olio su tela,http://93.62.170.226/foto/M0003042.jpg
0343/D,,maniera di Michele Antonio Rapous,XIX (?),vaso con fiori - uccello su ramo - cesto,olio su tela,http://93.62.170.226/foto/M0003046.jpg
0373/D,,pittore francese,sec. XVIII,Educazione della Vergine,olio su tela,http://93.62.170.226/foto/M0003076.jpg
0376/D,,miniatore svizzero,XVIII,Maria Cristina di Francia con il ritratto del marito Vittorio Amedeo I,tempera su pergamena - pergamena riportata su rame,http://93.62.170.226/foto/M0003079.jpg
0377/D,,maniera di Frans Snyders,XVIII,caccia al cervo,olio su tela,http://93.62.170.226/foto/M0003080.jpg
0378/D,,maniera di Frans Snyders,XVIII,caccia all'orso,olio su tela,http://93.62.170.226/foto/M0003081.jpg
0383/D,,pittore ignoto,XIX ca.,Adorazione dei Magi,olio su tela,http://93.62.170.226/foto/M0003087.jpg
0410/D,,cerchia di Luigi Miradori detto il Genovesino,XVII,La Fuga in Egitto,olio su tela,http://93.62.170.226/foto/M0003114.jpg
0411/D,,pittore ignoto,XVIII,ritratto di Ludovica di Savoia,olio su tela,http://93.62.170.226/foto/M0003115.jpg
0412/D,,pittore ignoto,XVII,Olimpia di Savoia-Soissons (Olimpia Mancini),olio su tela,http://93.62.170.226/foto/M0003116.jpg
0413/D,,pittore ignoto,XVII,fiori,olio su tela,http://93.62.170.226/foto/M0003117.jpg
0414/D,,pittore ignoto,XVIII,cestello di vimini con mazzo di fiori,olio su tavola,http://93.62.170.226/foto/M0003118.jpg
0426/D,,pittore piemontese,XVIII,,olio su tela,http://93.62.170.226/foto/M0003129.jpg
0427/D,,artista tirolese,ca. 1520 - ca. 1520,l'Annunciazione / la Natività / l'Adorazione dei Magi,olio su tavola - legno intagliato,http://93.62.170.226/foto/M0003130.jpg
0429/D,Spanzotti Giovanni Martino,bottega di Martino Spanzotti,1490 - 1500,Cristo nel sarcofago / quattro angeli,tempera su tavola,http://93.62.170.226/foto/M0003132.jpg
0432/D,,Collaboratore di Jean Bapteur,ca. 1440 - ca. 1440,Crocifissione con donatrice,tempera su tavola,http://93.62.170.226/foto/M0003135.jpg
0443/D,,maestro franco-piemontese,ca. 1470 - ca. 1480,Annunciazione,tempera su tavola,http://93.62.170.226/foto/M0003146.jpg
0444/D,,maestro franco-piemontese,ca. 1470 - ca. 1480,Strage degli Innocenti,tempera su tavola,http://93.62.170.226/foto/M0003147.jpg
0445/D,,maestro franco-piemontese,ca. 1470 - ca. 1480,Natività,tempera su tavola,http://93.62.170.226/foto/M0003148A.jpg
0446/D,,maestro franco-piemontese,ca. 1470 - ca. 1480,Disputa nel Tempio,tempera su tavola,http://93.62.170.226/foto/M0003149.jpg
0451/D,,pittore piemontese,ca. 1470 - ca. 1480,San Gaudenzio,tempera su tavola,http://93.62.170.226/foto/M0003154.jpg
0451/D,,pittore ligure,ca. 1470 - ca. 1480,San Gaudenzio,tempera su tavola,http://93.62.170.226/foto/M0003154.jpg
0453/D,,cerchia di Gandolfino,ca. 1520 - ca. 1530,Cristo nell'orto degli ulivi / Adorazione del Bambino e Santi,tempera su tavola,http://93.62.170.226/foto/M0003156A.jpg
0467/D,,pittore maiorchino,ca. 1330 - ca. 1330,Madonna col Bambino,tempera su tavola,http://93.62.170.226/foto/M0003170.jpg
0468/D,,pittore piemontese,ca. 1450 - ca. 1460,profeta stante,tempera su tavola,http://93.62.170.226/foto/M0003171.jpg
0468/D,,bottega di Jean Bapteur,ca. 1450 - ca. 1460,profeta stante,tempera su tavola,http://93.62.170.226/foto/M0003171.jpg
0473/D,Maestro del polittico Tana,pittore valsesiano,post 1503 - post 1503,Adorazione del Bambino / due santi / Cristo / apostoli,tempera su tavola,http://93.62.170.226/foto/M0003176.jpg
0481/D,,bottega di Defendente Ferrari,XVI,Incontro di S. Anna con S. Gioacchino,tempera su tavola,http://93.62.170.226/foto/M0003184.jpg
0482/D,,bottega di Defendente Ferrari,XVI,Presentazione della Madonna al Tempio,tempera su tavola,http://93.62.170.226/foto/M0003185.jpg
0484/D,,bottega di Defendente Ferrari,XVI,Martirio di un Santo nella caldaia,tempera su tavola,http://93.62.170.226/foto/M0003187.jpg
0494/D,Gandolfino da Roreto,pittore piemontese,XVI,Natività,tempera su tavola,http://93.62.170.226/foto/M0003197.jpg
0499/D,,bottega di Defendente Ferrari,XVI,Visitazione,tempera su tavola,http://93.62.170.226/foto/M0003202.jpg
0501/D,,bottega di Defendente Ferrari,XVI,Visitazione,tempera su tavola,http://93.62.170.226/foto/M0003204.jpg
0502/D,,bottega di Defendente Ferrari,XVI,La Fuga in Egitto,tempera su tavola,http://93.62.170.226/foto/M0003205.jpg
0518/D,,cerchia di Gerolamo Giovenone,XVI,Sposalizio mistico di S. Caterina,olio su tavola,http://93.62.170.226/foto/M0003221.jpg
0519/D,,maestro svizzero,ca. 1520 - ca. 1520,Santa Caterina e San Barnaba,olio su tavola,http://93.62.170.226/foto/M0003222.jpg
0519/D,,maestro tedesco,ca. 1520 - ca. 1520,Santa Caterina e San Barnaba,olio su tavola,http://93.62.170.226/foto/M0003222.jpg
0520/D,,pittore veneto,XV/XVI,Santa martire,tempera su tavola,http://93.62.170.226/foto/M0003223.jpg
0520/D,,pittore lombardo,XV/XVI,Santa martire,tempera su tavola,http://93.62.170.226/foto/M0003223.jpg
0524/D,,bottega di Angelo Maria Crivelli detto il Crivellone,XVII/XVIII,tacchini e colombi,olio su tela,http://93.62.170.226/foto/M0003227.jpg
0525/D,,bottega di Angelo Maria Crivelli detto il Crivellone,XVII/XVIII,aironi e anatre,olio su tela,http://93.62.170.226/foto/M0003228.jpg
0530/D,Maestro delle Residenze Sabaude,pittore piemontese,ca. 1670 - ca. 1670,castello del Valentino,olio su tela,http://93.62.170.226/foto/M0003233.jpg
0531/D,Maestro delle Residenze Sabaude,pittore piemontese,1663 - 1672,castello di Venaria,olio su tela,http://93.62.170.226/foto/M0003234.jpg
0532/D,Maestro delle Residenze Sabaude,pittore piemontese,ca. 1670 - ca. 1670,vigna di Madama Reale,olio su tela,http://93.62.170.226/foto/M0003235.jpg
0533/D,Maestro delle Residenze Sabaude,pittore piemontese,ca. 1670 - ca. 1670,castello di Rivoli,olio su tela,http://93.62.170.226/foto/M0003236.jpg
0536/D,,pittore piemontese,XVIII,Giovanni Lorenzo Lagrange,olio su tela,http://93.62.170.226/foto/M0003239.jpg
0537/D,,bottega di Joerg Lederer,ca. 1520 - ca. 1520,parentela della Vergine e santi,legno - tempera su tavola - legno di abete bianco scolpito - dipinto e dorato,http://93.62.170.226/foto/M0003240.jpg
0537/D,,bottega di Joerg Lederer,ca. 1520 - ca. 1520,parentela della Vergine e santi,legno - tempera su tavola - legno di abete bianco scolpito - dipinto e dorato,http://93.62.170.226/foto/M0003240A.jpg
0538/D,,cerchia di Vittorio Amedeo Cignaroli,XVIII,paesaggio,olio su tela,http://93.62.170.226/foto/M0003241.jpg
0564/D,,pittore napoletano,ca. 1740 - ca. 1740,Vittorio Amedeo II,olio su tela,http://93.62.170.226/foto/M0003267.jpg
0573/D,,pittore piemontese,XVIII,Incredulità di S.Tommaso,olio su tela,http://93.62.170.226/foto/M0003276.jpg
0578/D,,pittore caravaggesco francese,ca. 1620 - ca. 1620,Apollo,olio su tela,http://93.62.170.226/foto/M0003281.jpg
0580/D,,pittore ignoto,1590 - 1595,Caterina Micaela,olio su tela,http://93.62.170.226/foto/M0003283.jpg
0589/D,,pittore fiammingo,XVII,ritratto di gentiluomo,olio su tela,http://93.62.170.226/foto/M0003292.jpg
0590/D,,pittore olandese,XVII,fiori in vaso con frutta,olio su tela,http://93.62.170.226/foto/M0003293.jpg
0590/D,,pittore italiano settentrionale,XVII,fiori in vaso con frutta,olio su tela,http://93.62.170.226/foto/M0003293.jpg
0597/D,,pittore fiammingo,XVII,gentildonna,olio su tela,http://93.62.170.226/foto/M0003300.jpg
0598/D,,pittore olandese,XVIII,fiori e frutta,olio su tela,http://93.62.170.226/foto/M0003301.jpg
0598/D,,pittore italiano settentrionale,XVIII,fiori e frutta,olio su tela,http://93.62.170.226/foto/M0003301.jpg
1201/C,,manifattura di Savona,XVIII,,maiolica,http://93.62.170.226/foto/M0003304.jpg
1202/C,,fabbrica Delvecchio - Napoli,XVIII,putti - caprone e fiori,terraglia,http://93.62.170.226/foto/M0003305.jpg
1203/C,,fabbrica dell' Alto Lazio - Viterbo,XV/XVI,,maiolica - ceramica smaltata,http://93.62.170.226/foto/M0003306.jpg
1204/C,,fabbrica di Faenza,NULL,testa di donna,maiolica,http://93.62.170.226/foto/M0003307.jpg
1207/C,,manifattura di Vische,XVIII,,NULL,http://93.62.170.226/foto/M0003310.jpg
1209/C,,fabbrica Delvecchio - Napoli,XVIII,veduta di Chiaja,terraglia,http://93.62.170.226/foto/M0003312.jpg
1210/C,,islamico,NULL,,maiolica,http://93.62.170.226/foto/M0003313.jpg
1211/C,,fabbrica di Faenza,NULL,animale,terracotta,http://93.62.170.226/foto/M0003314.jpg
1212/C,,fabbrica di Faenza,NULL,scudo con scritta,maiolica,http://93.62.170.226/foto/M0003315.jpg
1213/C,,fabbrica di Faenza,NULL,scritta,maiolica,http://93.62.170.226/foto/M0003316.jpg
1214/C,,fabbrica di Faenza,NULL,personaggio maschile,terraglia,http://93.62.170.226/foto/M0003317.jpg
1215/C,,fabbrica di Faenza,NULL,animale,terraglia,http://93.62.170.226/foto/M0003318.jpg
1216/C,,fabbrica di Montelupo,NULL,stella a sei punte,maiolica,http://93.62.170.226/foto/M0003319.jpg
1217/C,,fabbrica di Faenza,NULL,animale,terraglia,http://93.62.170.226/foto/M0003320.jpg
1226/C,,fabbrica romagnola,XVI,,maiolica - ceramica smaltata - ceramica invetriata,http://93.62.170.226/foto/M0003329A.jpg
1227/C,,fabbrica romagnola,XVI,campana e croce sul globo,maiolica - ceramica smaltata - ceramica invetriata,http://93.62.170.226/foto/M0003330A.jpg
1229/C,,manifattura Cozzi - Venezia,XVIII,palazzo e cortile con fontana,porcellana,http://93.62.170.226/foto/M0003332.jpg
1230/C,,manifattura Cozzi - Venezia,XVIII,giardino e festone,porcellana,http://93.62.170.226/foto/M0003333.jpg
1236/C,,manifattura di Meissen,XVIII,,porcellana,http://93.62.170.226/foto/M0003339.jpg
1237/C,,manifattura di Savona,XVII,,maiolica,http://93.62.170.226/foto/M0003340.jpg
1239/C,,fabbrica di Vinovo,XVIII,Vittorio Amedeo III,biscuit - avorio,http://93.62.170.226/foto/M0003342.jpg
1240/C,,fabbrica di Milano,XVIII,,maiolica,http://93.62.170.226/foto/M0003343.jpg
1270/C,,manifattura di Castelli,NULL,,maiolica,http://93.62.170.226/foto/M0003373.jpg
1295/C,,fabbrica di Vinovo,XVIII,giovinetto con cane,porcellana,http://93.62.170.226/foto/M0003398.jpg
1307/C,,fabbrica di Vinovo,XIX,personaggio femminile (Agrippina) / personaggio maschile,biscuit,http://93.62.170.226/foto/M0003410.jpg
1307/C,,Periodo Lomello (1816-1820),XIX,personaggio femminile (Agrippina) / personaggio maschile,biscuit,http://93.62.170.226/foto/M0003410.jpg
1309/C,,manifattura di Vische,XVIII,giovinetto con cappello ripieno di fiori,porcellana,http://93.62.170.226/foto/M0003412.jpg
1342/C,,fabbrica veneta,XVIII,,maiolica,http://93.62.170.226/foto/M0003445.jpg
1343/C,,manifattura di Savona,XVIII,uccelli,maiolica,http://93.62.170.226/foto/M0003446.jpg
1365/C,,fabbrica di Torino,XVIII,,maiolica,http://93.62.170.226/foto/M0003468.jpg
1395/C,,manifattura di Savona,XVII,fauni / stemma / busto di profilo,maiolica,http://93.62.170.226/foto/M0003498.jpg
1486/C,,Real fabbrica Ferdinandea,1796 - 1800,,porcellana,http://93.62.170.226/foto/M0003589A.jpg
1486/C,,Periodo Venuti (1780-1800),1796 - 1800,,porcellana,http://93.62.170.226/foto/M0003589A.jpg
3422/C,,manifattura Ginori - Doccia,XVIII,Atlante regge il mondo,porcellana - legno - ferro,http://93.62.170.226/foto/M0003625.jpg
3422/C,,manifattura Ginori - Doccia,XVIII,Atlante regge il mondo,porcellana - legno - ferro,http://93.62.170.226/foto/M0003625A.jpg
3422/C,,Periodo Ginori Carlo (1737-1757),XVIII,Atlante regge il mondo,porcellana - legno - ferro,http://93.62.170.226/foto/M0003625.jpg
3422/C,,Periodo Ginori Carlo (1737-1757),XVIII,Atlante regge il mondo,porcellana - legno - ferro,http://93.62.170.226/foto/M0003625A.jpg
3423/C,,fabbrica di Pesaro,XVI,fiori stilizzati / animali / figure umane,maiolica invetriata,http://93.62.170.226/foto/M0003626A.jpg
3292/C,,fabbrica di Venezia,XVIII,,maiolica,http://93.62.170.226/foto/M0001325A.jpg
3293/C,,manifattura di Savona,XVIII,tentazione di Adamo ed Eva,maiolica,http://93.62.170.226/foto/M0001326.jpg
3294/C,,manifattura di Savona,XVII,stemma con ai lati: trionfo di un Cesare e figura femminile con guerriero,maiolica,http://93.62.170.226/foto/M0001327.jpg
3295/C,,manifattura di Savona,XVII,sacrificio dell'agnello,maiolica,http://93.62.170.226/foto/M0001328.jpg
3296/C,,manifattura di Savona,XVII,stemma,maiolica,http://93.62.170.226/foto/M0001329.jpg
3296/C,,manifattura di Savona,XVII,stemma,maiolica,http://93.62.170.226/foto/M0001329A.jpg
3298/C,,manifattura di Savona,XVII,Mercurio e il leopardo,maiolica,http://93.62.170.226/foto/M0001331.jpg
3299/C,,manifattura di Savona,XVII,figura allegorica,maiolica,http://93.62.170.226/foto/M0001332.jpg
3301/C,,manifattura di Savona,XVII,stemma con figure femminili e putti / Apollo e figure armate,maiolica,http://93.62.170.226/foto/M0001334.jpg
3302/C,,manifattura di Savona,XVII,stemma - putti / cacciata dal paradiso terrestre,maiolica,http://93.62.170.226/foto/M0001335.jpg
3303/C,,manifattura di Savona,XVII,putti e fogliame / scritta / figura femminile,maiolica,http://93.62.170.226/foto/M0001336.jpg
3304/C-a,,manifattura di Savona,XVII,stemma - putti e figure femminili / un cavallo e una figura,maiolica,http://93.62.170.226/foto/M0001337.jpg
3304/C-b,,manifattura di Savona,XVII,guerriero a cavallo / stemma / putti e mostri marini,maiolica,http://93.62.170.226/foto/M0001338.jpg
3305/C,,fabbrica ligure,NULL,putti e suonatrice di cetra,maiolica,http://93.62.170.226/foto/M0001339.jpg
3307/C,,manifattura di Savona,XVII,putti / cartiglio,maiolica,http://93.62.170.226/foto/M0001341.jpg
3308/C,,fabbrica Pesce,NULL,scene di animali e paesaggio / scritta,maiolica,http://93.62.170.226/foto/M0001342.jpg
3310/C,Bruschi Gaspero,Periodo Ginori Carlo (1737-1757),XVIII,fauno della Tribuna di Firenze,porcellana,http://93.62.170.226/foto/m0001344.jpg
3311/C,,arte napoletana,XIX,figure in costumi regionali,terraglia,http://93.62.170.226/foto/M0001345.jpg
3333/C-I,,fabbrica di Wedgwood - Inghilterra,XIX,paesaggio,terraglia,http://93.62.170.226/foto/M0001367.jpg
3378/C,,manifattura toscana,XV,,terracotta maiolicata,http://93.62.170.226/foto/M0001414.jpg
3378/C,,bottega di Luca della Robbia,XV,,terracotta maiolicata,http://93.62.170.226/foto/M0001414.jpg
3379/C,,manifattura toscana,XV,,terracotta maiolicata,http://93.62.170.226/foto/M0001415.jpg
