Autore,Titolo,Datazione,Tecnica,Dimensioni,Immagine
"","Giara carenata hu","ca. 3300 a.C.","Terracotta arancione con decorazione dipinta in nero e bianco. Corpo lavorato a cercine - collo applicato rifinito al tornio.
","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1396_Cn11.jpg"
"","Vaso carenato con collo alto","ca. 3300 a.C.","Terracotta arancione con decorazione dipinta in nero e bianco. Corpo lavorato a cercine - collo applicato rifinito al tornio.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1397_Cn10.jpg"
"","Giara con decorazione antropomorfa","ca. 2400-1950 a.C.","Terracotta arancione con decorazione dipinta in nero. Corpo lavorato al cercine - collo applicato rifinito al tornio.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1398_Cn09.jpg"
"","Vaso a due anse con testa antropomorfa","ca. 1300-900 a.C.","Terracotta beige rosata con decorazione applicata. ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1399_Cn08.jpg"
"","Vaso hu a un'ansa e collo alto","ca. 2400-1950 a.C.","Terracotta beige-arancio con decorazione bicolore dipinta in ocra rosso e nero. ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1400_Cn07.jpg"
"","Giara a due anse e otto impugnature","ca. 2400-1950 a.C.","Terracotta arancione con decorazione bicolore dipinta in ocra rosso e nero su ingobbio beige. Corpo lavorato al cercine - collo applicato rifinito al tornio (?).","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1401_Cn06.jpg"
"","Giara a due anse e largo collo espanso","ca. 2650-2450 a.C.","Terracotta arancione con decorazione bicolore dipinta in ocra rosso e nero. Corpo lavorato al cercine - collo applicato rifinito al tornio.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1402_Cn05.jpg"
"","Giara a due anse con decorazione di creatura stilizzata","ca. 2300-2100 a.C.","Terracotta arancione con decorazione bicolore sovrapposta - marrone e nera. Impasto granulare con impurità - livellato a spatola prima della cottura. Corpo realizzato al cercine - collo applicato rifinito al tornio.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1403_Cn04.jpg"
"","Giara a due anse e corpo globulare","ca. 2400-2200 a.C.","Terracotta beige con decorazione bicolore dipinta in ocra rosso e nero","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1404_Cn03.jpg"
"","Giara a due anse e collo dritto","ca. 2200 a.C.","Terracotta arancione con decorazione bicolore dipinta in ocra rosso e nero. Ingobbio rosato (?)","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1405_Cn02.jpg"
"","Giara a due anse e piccolo collo espanso","ca. 2500-2300 a.C.","Terracotta arancione con decorazione bicolore dipinta in ocra rosso e nero","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1406_Cn01.jpg"
"","Buddha assiso a mani giunte","XVI sec.","legno e lacca con policromia","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1407_Cs09.jpg"
"","Testa d'ascia zhang affilata","ca. 2070-1600 a.C.
","Pietra levigata di colore marrone - screziata di varie tonalità di verde e venata di grigio (nefrite?).","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1408_Cp01temp.JPG"
"","Zhenmushou - creatura protettrice della tomba - su alta base","prima metà VIII secolo d.C.","terracotta a impasto beige chiaro e invetriatura sancai - ingobbio chiaro e pigmenti. Realizzazione a stampo.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1409_Cc43b.jpg"
"","Zhenmushou - creatura protettrice della tomba - su alta base","prima metà VIII secolo d.C.","terracotta a impasto beige chiaro e invetriatura sancai - ingobbio chiaro e pigmenti. Realizzazione a stampo.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1410_Cc43a.jpg"
"","campana 'bo'","prima metà V secolo a.C.","bronzo fuso in una matrice bivalve","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1411_Cb21.jpg"
"","Albero mitico ","I secolo a.C.","Terracotta rossa con ingobbio bianco e due vetrine piombifere. Decorazione ottenuta a stampo.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1412_Cc44.jpg"
"","Supporto di albero delle monete ","II – inizio III secolo d.C.","Terracotta rossa con tracce di pigmento rosso. Realizzazione con stampo bivalve.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1413_Cc45.jpg"
"","Supporto a forma di fiera alata ","seconda metà II – inizio III secolo d.C.","Terracotta rossa.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1414_Cc46.jpg"
"","Bovide ","I secolo a.C. – I secolo d.C.","Terracotta rossa con invetriatura ocra-verdognola, tracce di ingobbio bianco (?). Realizzazione a stampi multipli.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1415_Cc47.jpg"
"","Tartaruga ","II secolo d.C. (?)","Terracotta grigia - pigmenti rosso e bianco.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1416_Cc48.jpg"
"","Molosso ","seconda metà II secolo d.C.","Terracotta grigia - pigmento rosso. Realizzato a stampo.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1417_Cc49.jpg"
"","Cavallo e cavaliere con berretto e sottogola ","II secolo a.C.","Terracotta grigia chiara e pigmenti a freddo. Realizzato a stampi assemblati prima della cottura.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1418_Cc50.jpg"
"","Cavallo dalle lunghe zampe e cavaliere","II secolo a.C.","Terracotta grigia dipinta con pigmenti a freddo. Realizzato a stampi assemblati prima della cottura.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1419_Cc51.jpg"
"","Cantastorie","seconda metà II secolo d.C.","Terracotta grigia. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1420_Cc66.jpg"
"","Suonatore di cetra qin inginocchiato","seconda metà II secolo d.C.","Terracotta grigia a impasto spurio - tendente al marrone con chiazze rossastre. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1421_Cc65.jpg"
"","Cavallo con ciuffo e corta criniera","seconda metà II – inizio III secolo d.C.","Terracotta rossa - invetriatura ocra con inclusioni scure e ritocchi di invetriatura verde.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1426_Cc56.jpg"
"","Statuina nuda maschile","II secolo a.C.","Terracotta grigia con ingobbio rosa. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1428_Cc57a.jpg"
"","Statuina nuda maschile","II secolo a.C.","Terracotta grigia con ingobbio rosa e tracce di pittura nera. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1429_Cc57b.jpg"
"","Statuina nuda maschile","II secolo a.C.","Terracotta grigia con ingobbio rosa. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1430_Cc57c.jpg"
"","Statuina nuda femminile","II - I secolo a.C.","Terracotta grigia. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1431_Cc58temp.jpg"
"","Statuina nuda femminile","II - I secolo a.C.","Terracotta grigia con ingobbio rosa e tracce di pigmenti. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1432_Cc59.jpg"
"","uomo nudo inginocchiato","II - I secolo a.C.","Terracotta grigia con ingobbio rosa e pigmenti. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1433_Cc60temp.jpg"
"","Fante con corazza","II secolo a.C.","Terracotta grigia - ingobbio bianco e pigmenti policromi. Realizzata a stampo.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1434_Cc61.jpg"
"","Fante","II secolo a.C.","Terracotta grigia parzialmente dipinta con pigmenti policromi. Realizzata a stampo.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1435_Cc62.jpg"
"","Contadino-fante","seconda metà II secolo d.C.","Terracotta rossa dipinta con pigmenti policromi. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1436_Cc63.jpg"
"","Divinità guardiana della tomba","seconda metà II secolo d.C.","Terracotta rossa con ingobbio bianco-beige e tracce di pigmento nero. Realizzata a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1437_Cc64.jpg"
"","Uomo (?) in piedi","II secolo a.C.","Terracotta grigia - ingobbio bianco e pigmenti policromi. Realizzazione a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1438_Cc67.jpg"
"","Uomo (?) inginocchiato","II secolo a.C.","Terracotta grigia - ingobbio bianco e pigmenti policromi. Realizzazione a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1439_Cc68.jpg"
"","Donna in piedi","II secolo a.C.","Terracotta grigia - ingobbio bianco e pigmenti policromi. Realizzazione a stampi multipli assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1440_Cc69.jpg"
"","Giara a forma di stūpa","IX secolo d.C.","Terracotta rossa con invetriatura verde.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1441_Cv79.jpg"
"","inrō a forma di campana lavorata in rilievo","fine XVIII - inizi XIX sec.","Legno scolpito e laccato - placche metalliche","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1449_Ja01.jpg"
"","inrō completo di ojime e netsuke","fine XVIII - inizi XIX sec.","Legno laccato e dipinto (inrō) - avorio (ojime e netsuke) - seta (cordino)","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1450_Ja02.jpg"
"","inrō con le stazioni della Tōkaidō","fine XVIII - inizi XIX sec.","Legno laccato - dorato - argentato e dipinto ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1451_Ja03.jpg"
"","inrō con paesaggio costiero e montagne","fine XVIII - inizi XIX sec.","Legno laccato e dorato - decorazione in oro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1452_Ja04.jpg"
"","Tsong-kha-pa e i Protettori della scuola dGe-lugs-pa","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1571_10.jpg"
"","Ushnishavijaya","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1572_20.jpg"
"","Quattro monaci Sa-skya-pa","XV-XVI secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1573_23.jpg"
"","Phyag-na-rdo-rje","XVIII secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1574_27.jpg"
"","Shyamatara (Tara Verde) ????","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1575_18.jpg"
"","Mandala di Cackrasamvara","XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1576_c.jpg"
"","Shadakshari Lokeshvara","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1595_42.jpg"
"","Il primo Panchen Lama","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1597_45.jpg"
"","Guru Rin-po-che","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1598_43.jpg"
"","Tsong-kha-pa e i suoi maestri","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1599_46.jpg"
"","Vajratikshna Manjushri","XVIII-XIX secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1600_47.jpg"
"","Amitayus","XVIII secolo","tempera su cotone","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1601_56.jpg"
"","Pe-har e divinità terrifiche","XVIII sec. ","tempera su cotone, cornice (moderna) in legno laccato verde e oro - con vetro.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1821_Ht88.jpg"
"","Buddha stante in abhayamudrā con ricche vesti","XIX sec. ","bronzo dorato - applicazioni in vetro colorato nero e rosso.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1761_Sb09.jpg"
"","Sita-Śaṁvararāja e divinità pacifiche","XVIII sec. ","tempera su cotone, cornice (moderna) in legno laccato verde e oro - con vetro.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1821_Ht87.jpg"
"","Colonnina a base quadrangolare","I-II sec. d.C","Scisto scolpito ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1771_130.jpg"
"","Battente sinistro della porta di una tomba","inizio II secolo d.C.","pietra grigia - parzialmente dipinta in rosso","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2074_Cp03c.jpg"
"","Battente destro della porta di una tomba","inizio II secolo d.C.","pietra grigia - parzialmente dipinta in rosso","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2075_Cp03d.jpg"
"","Stipite destro della porta di una tomba","inizio II secolo d.C.","pietra grigia - parzialmente dipinta in rosso e in nero","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2076_Cp03e.jpg"
"","Modellino di un forno","seconda metà III secolo d.C.","grès porcellanoso grigio chiaro con coperta verde oliva","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2049_Cc78.jpg"
"","Lama di ascia-pugnale 'ge' a fanone","ca. IV secolo a.C.","bronzo a patina verde oliva","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2094_Cb43.jpg"
"","Lama di ascia-pugnale 'ge' a fanone con fodero","IV secolo a.C.","bronzo a patina gialla, fodero in scorza di legno laccata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2095_Cb44a.jpg"
"","Piede di ascia-pugnale 'ge'","IV secolo a.C.","bronzo a patina marrone opaca","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2096_Cb44b.jpg"
"","Punta di lancia 'mao'","III secolo a.C.","bronzo a patina nera e ambrata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2096_Cb45.jpg"
"","Jñāna Dakṣiṇāmūrti","XII secolo d.C.","Granito grigio scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2170_01061.jpg"
"","Dvārapāla","XV secolo d.C.","Granito grigio scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2171_01059.jpg"
"","Tārā","XII secolo d.C. ?","Granito grigio scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2172_01053.jpg"
"","Mañjuvajra (?)","VIII secolo d.C.","Clorite verde scolpita","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2173_01094.jpg"
"","Keihitsu Toba guruma - volume III","fine XVIII o terzo quarto XIX sec.","fogli di carta stampata - copertina in cartoncino - rilegatura cucita","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2388_Jh10c.JPG"
"","Yamato jimbutsu gafu - volume I","inizio o terzo quarto XIX sec.","fogli di carta stampata - copertina in cartoncino - rilegatura cucita","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2387_Jh11a.JPG"
"","Yamato jimbutsu gafu - volume II","inizio o terzo quarto XIX sec.","fogli di carta stampata - copertina in cartoncino - rilegatura cucita","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2390_Jh11b.JPG"
"","Yamato jimbutsu gafu - volume III","inizio o terzo quarto XIX sec.","fogli di carta stampata - copertina in cartoncino - rilegatura cucita","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2391_Jh11c.JPG"
"","inrō con paesaggio costiero e capanne","fine XVIII - inizi XIX sec.","Legno laccato - dorato e argentato (?) ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1453_Ja05.jpg"
"","inrō con felci e staccionate","fine XVIII - inizi XIX sec.","Legno laccato - dorato e argentato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1454_Ja06.jpg"
"","inrō con topi e radice di daikon","fine XVIII - inizi XIX sec.","Legno laccato bruno e nero, decorazione in oro - argento e pigmento rosso","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1455_Ja07.jpg"
"","inrō con stemmi e motivi vegetali","fine XVIII - inizi XIX sec.","Legno ricoperto da pelle di serpente laccata e dorata, decorazione in oro e lacca nera","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1456_Ja08.jpg"
"","inrō con due stemmi","fine XVIII - inizi XIX sec.","Legno laccato e dorato - decorazione in oro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1457_Ja09.jpg"
"","inrō con aquila e passero","fine XVIII - inizi XIX sec.","Corteccia di ciliegio laccata, decorazione in oro e lacca colorata - forse con minuscoli ritagli di madreperla (?)","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1458_Ja10.jpg"
"","inrō con tralci e ventagli","fine XVII - inizi XVIII sec.","Legno laccato e originariamente dorato, decorazione in oro e madreperla","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1459_Ja11.jpg"
"","inrō con uccello e ciliegio in fiore","metà XVIII sec.","Legno laccato, decorazione in oro - argento (?) e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1460_Ja12.jpg"
"","inrō con fenice su un ramo di paulonia","fine XVIII - inizi XIX sec.","Legno laccato di nero - decorazione in oro tipo chinkin-bori.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1461_Ja13.jpg"
"","inrō con cavalli al pascolo","fine XIX sec.","Legno laccato di nero - decorazione in madreperla e oro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1462_Ja14.jpg"
"","inrō con parasole e salice","metà XVIII sec.","Corteccia di ciliegio laccata - decorazione in oro e madreperla ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1463_Ja15.jpg"
"","inrō con Fukurokuju e bambù","fine XVII - inizi XVIII sec.","Legno laccato - decorazione in madreperla e oro.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1468_Ja20.jpg"
"","Portasigari con vaso fiorito e altri oggetti","ultimo quarto XIX sec.","Carapace di tartaruga, decorazione in lacca - oro - argento e pigmenti.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1469_Ja21.jpg"
"","inrō intagliato con decorazione vegetale","metà XVIII sec.","Legno intagliato e laccato stile kamakurabori - laccatura interna nashiji.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1470_Ja22.jpg"
"","inrō intagliato con decorazione paesaggistica","fine XVIII - inizi XIX sec.","Legno intagliato - lacca traslucida.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1471_Ja23.jpg"
"","inrō intagliato con due draghi tra le nuvole","fine XVIII - inizi XIX sec.","Legno intagliato e lacca traslucida - interno di lacca rossa.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1472_Ja24.jpg"
"","netsuke inciso con tigre e disegni geometrici","metà XVIII - fine XIX sec.","Avorio polito e inciso.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1473_Ja25a.jpg"
"","netsuke traforato con rocce e alberi di pino","metà XVIII - fine XIX sec.","Corno di cervo (?) traforato e intagliato.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1474_Ja25b.jpg"
"","netsuke decorato con peonia","metà XVIII - fine XIX sec.","Legno levigato - decorazione in oro hiramaki-e.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1475_Ja25c.jpg"
"","netsuke inciso a disegni astratti e volute","metà XVIII - fine XIX sec.","Legno laccato e inciso.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1476_Ja25d.jpg"
"","netsuke traforato con cerchi e volute","metà XVIII - fine XIX sec.","Metallo (ottone?) traforato e intagliato.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1477_Ja25e.jpg"
"","netsuke a forma di bovide","metà XVIII - fine XIX sec.","Legno nero (ebano?) intagliato e lucidato.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1478_Ja26a.jpg"
"","netsuke a forma di canide con teschio","metà XVIII - fine XIX sec.","Legno bruno-rossatro intagliato e lucidato - occhi intarsiati d’avorio (?).","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1479_Ja26b.jpg"
"","netsuke a forma di leone unicorno","metà XVIII - fine XIX sec.","Legno bruno scuro intagliato e leggermente lucidato.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1480_Ja26c.jpg"
"","netsuke a forma di cervo sdraiato","metà XVIII - fine XIX sec.","Avorio intagliato e polito.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1481_Ja26d.jpg"
"","netsuke a forma di mokugyo","metà XVIII - fine XIX sec.","Legno intagliato e laccato di rosso","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1482_Ja26e.jpg"
"","netsuke a forma di vecchio con bambino sulle spalle","metà XVIII - fine XIX sec.","Legno bruno scuro intagliato e lucidato - occhi in avorio incastonato (?).","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1483_Ja27a.jpg"
"","kobako con decorazione floreale damascata","ultimo quarto XIX sec.","Legno laccato, decorazione in oro - argento e altri metalli","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1520_Jl30.jpg"
"","kagamibako con rami di pino e prugno","fine XVIII - inizi XIX sec.","Scatola in legno laccato - decorazione in oro e argento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1521_Jl31.jpg"
"","kagamibako con tralicci e tralci - provvista di specchio","prima metà XIX sec.","Scatola in legno laccato - decorazione in oro e argento, specchio in ottone o bronzo con cordoncino di seta","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1522_Jl32.jpg"
"","kobako con fiori autunnali e passeri","ultimo quarto XVIII sec.","Legno laccato - decorazione in oro e argento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1523_Jl33.jpg"
"","sakazuki con carro augurale ","ultimo quarto XIX sec.","Legno laccato di rosso, decorazione in oro e lacca bruna","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1540_Jl46c.jpg"
"","Rakuchū Rakugai zu - parte destra","prima metà XVII sec.","inchiostro - tempera e foglia d'oro su sette strati di carta. Bordo di seta damascata e montatura in legno laccato.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1541_Jp01b.jpg"
"","Luohan assiso in dharmacakramudrā","XVI sec.","legno e lacca con policromia","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1542_Cs05.jpg"
"","Vaso  a forma di cavallo con cavaliere","XII-XIII secolo ","ceramica beige - invetriata in turchese e blu oltremare con tracce di foglia d'oro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1081_01.jpg"
"","Guerriero con armatura","seconda metà VII sec. d.C.","Terracotta chiara modellata a stampo - ingobbio e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1727_Cc93.jpg"
"","Cammello con  il carico coperto da mascheroni","seconda metà VII sec. d.C.","Terracotta chiara modellata a stampo - ingobbio e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1728_Cc94.jpg"
"","Zhenmushou - creatura protettrice della tomba a volto umano","seconda metà VII sec. d.C.","Terracotta chiara modellata a stampo - ingobbio e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1729_Cc97.jpg"
"","Destriere sellato","seconda metà VII sec. d.C.","Terracotta chiara modellata a stampo - ingobbio e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1730_Cc_91.jpg"
"","Porzione di figura maschile armata di spada","I-II sec. d.C","Scisto scolpito ad altorilievo","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1770_145.jpg"
"","Falsa mensola con figura maschile addossata a foglia d’acanto ","I-II sec. d.C","Scisto scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1770_6DEV8497.jpg"
"","Personaggio maschile inginocchiato","XIX sec.","bronzo a patina bruna","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1748_Sb02.jpg"
"","Testa maschile con alto turbante","I-II sec. d.C","Scisto scolpito ad altorilievo","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1770_6DEV8482.jpg"
"","Offerente","I-II secolo d.C.","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1857_6DEV8756.jpg"
"","Offerente con mazzo di boccioli di loto","I-II secolo d.C.","Scisto scolpito a rilievo con lievi tracce diffuse di stucco di copertura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1857_6DEV8755.jpg"
"","Asceta con kamaṇḍalu","I-II secolo d.C.","Scisto grigio scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1862_6DEV8457.jpg"
"","Veste lunga (pao) con medaglioni floreali e farfalle","seconda metà XIX sec.","seta gialla ricamata con filati metallici e sete policrome","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1802_Ct01.jpg"
"","Mensola a forma di pilastrino corinzio","I-II sec. d.C","Scisto scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1952_6DEV8841.jpg"
"","Lesena con capitello gandharico-corinzio","I-II sec. d.C","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1953_6DEV8696.jpg"
"","Capitello di lesena figurato","I-II sec. d.C","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1954_6DEV8594.jpg"
"","Capitello gandharico-corinzio di lesena angolare","I-II sec. d.C","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1955_6DEV8598.jpg"
"","Falso frontone con due scene sovrapposte","I-II secolo d.C.","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1915_6DEV8772.jpg"
"","Testa di vecchio asceta","I-II sec. d.C","Scisto scolpito ad altorilievo","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1769_122.jpg"
"","Astuccio portapenne traforato","XVII - XIX secolo","fusione in bronzo","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2009_50.jpg"
"","Astuccio portapenne in argento","XVII - XIX secolo","argento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2010_52.jpg"
"","netsuke a forma di personaggio che ride","metà XVIII - fine XIX sec.","Legno bruno intagliato e laccato.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1484_Ja27b.jpg"
"","netsuke a forma di tsuzumi","metà XVIII - fine XIX sec.","Legno scolpito e laccato - decorazione dipinta.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1485_Ja27c.jpg"
"","netsuke a forma di cofanetto","metà XVIII - fine XIX sec.","Legno (?) scolpito - laccato e dorato, gancetto in metallo.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1486_Ja27d.jpg"
"","netsuke a forma asimmetrica","metà XVIII - fine XIX sec.","Ambra scolpita e levigata.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1487_Ja27e.jpg"
"","otto ojime globulari","metà XVIII - fine XIX sec.","Varie: legno lucidato o dipinto o laccato - corallo - nòcciolo (?) - metallo dorato. ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1488_Ja28.JPG"
"","otto ojime di varie forme","metà XVIII - fine XIX sec.","Varie: legno lucidato o dipinto - osso o avorio - metalli - nòcciolo (?) - corallo. ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1489_Ja29.JPG"
